Time	Fxf	Fyf	Fzf	Ftf	aux	Fx	Fy	Fz	Ft
0.416000	0.098135	-0.116873	0.153826	0.216684	-0.002136	0.112459	-0.128990	0.122123	0.210236
0.424000	-0.104257	-0.242586	0.108563	0.285488	-0.001831	-0.116426	-0.235803	0.160271	0.307969
0.432000	-0.252261	-0.154741	-0.069194	0.303922	-0.002441	-0.242313	-0.159508	-0.129651	0.317754
0.440000	-0.213593	-0.053780	0.215064	0.307843	-0.003815	-0.223239	-0.048880	0.267084	0.351509
0.448000	-0.145539	-0.070338	0.263735	0.309331	-0.001831	-0.135500	-0.075583	0.228936	0.276559
0.456000	-0.164203	-0.112431	-0.001132	0.199008	-0.001221	-0.173648	-0.106101	0.022939	0.204786
0.464000	-0.189634	-0.123725	-0.002618	0.226441	-0.002441	-0.181277	-0.132804	-0.030467	0.226774
0.472000	-0.117064	-0.100860	-0.029233	0.157262	-0.002289	-0.124056	-0.087027	0.015310	0.152309
0.480000	-0.001958	0.009637	0.113042	0.113469	0.005341	0.001831	-0.010732	0.045828	0.047103
0.488000	0.007678	0.005594	0.092442	0.092929	-0.001221	0.009461	0.031230	0.175530	0.178537
0.496000	-0.084956	-0.191522	-0.235446	0.315171	-0.001984	-0.093538	-0.216729	-0.312759	0.391841
0.504000	-0.224027	-0.156859	-0.023103	0.274457	-0.000610	-0.207980	-0.136619	0.022939	0.249894
0.512000	-0.163583	0.123971	0.048214	0.210838	-0.003510	-0.185092	0.107525	0.045828	0.218908
0.520000	0.168383	0.298061	-0.035471	0.344168	0.000916	0.188754	0.313522	-0.068615	0.372333
0.528000	0.362348	0.332708	0.327040	0.590716	-0.001984	0.348974	0.317337	0.373897	0.601901
0.536000	0.355312	0.369805	0.428734	0.668442	-0.001831	0.360418	0.386002	0.389156	0.656004
0.544000	0.357540	0.462173	0.277542	0.646891	-0.002136	0.360418	0.443224	0.297602	0.644139
0.552000	0.450973	0.425038	0.237305	0.663587	0.004578	0.440528	0.447038	0.244195	0.673453
0.560000	0.422523	0.273989	0.367959	0.623690	-0.001831	0.436713	0.252486	0.328120	0.601773
0.568000	0.088509	0.259166	0.218292	0.350217	-0.002441	0.078126	0.275374	0.289972	0.407454
0.576000	-0.012912	0.276546	-0.124241	0.303447	-0.001984	-0.009613	0.267745	-0.213575	0.342628
0.584000	0.221314	0.144572	0.058297	0.270702	-0.000763	0.219272	0.145673	0.145012	0.300548
0.592000	0.150770	-0.041759	0.209255	0.261272	-0.000610	0.158236	-0.033621	0.137382	0.212233
0.600000	-0.070479	-0.034233	-0.001914	0.078377	-0.002289	-0.082094	-0.052694	0.053457	0.111237
0.608000	0.067648	0.070490	-0.204107	0.226285	-0.001373	0.078126	0.096081	-0.244093	0.273709
0.616000	0.326809	-0.002582	0.054585	0.331346	-0.002289	0.318456	-0.029806	0.083976	0.330688
0.624000	0.337087	-0.161748	0.900685	0.975204	0.004578	0.345159	-0.136619	0.869815	0.945716
0.632000	0.018712	-0.347886	1.281334	1.327853	-0.001831	0.009461	-0.369319	1.319956	1.370683
0.640000	-0.326717	-0.449204	1.232653	1.352021	-0.001221	-0.310979	-0.430355	1.197884	1.310282
0.648000	-0.311080	-0.360602	0.859986	0.983047	-0.003357	-0.341497	-0.380763	0.862186	1.002479
0.656000	-0.418515	-0.415502	0.350201	0.685885	0.001526	-0.372015	-0.392208	0.427303	0.689065
0.664000	-0.682222	-0.545970	0.240209	0.906206	-0.001678	-0.734417	-0.567686	0.022939	0.928527
0.672000	-0.596808	-0.241976	-1.102602	1.276896	-0.001678	-0.555123	-0.228173	-0.694235	0.917707
0.680000	-0.302296	0.107790	-0.669836	0.742753	-0.002136	-0.318608	0.099896	-1.258818	1.302350
0.688000	0.138003	-0.070605	1.684001	1.691120	-0.001831	0.116274	-0.060324	2.349940	2.353588
0.696000	0.015042	-0.179586	1.188126	1.201715	0.001068	0.078126	-0.193840	0.587523	0.623588
0.704000	-0.414039	0.071122	0.222534	0.475403	-0.000763	-0.501717	0.080822	0.656189	0.829961
0.712000	-0.075039	0.220616	-0.213731	0.316201	-0.002136	0.009461	0.225783	-0.434831	0.490046
0.720000	0.157541	0.437847	-0.107142	0.477503	-0.001678	0.093385	0.412706	-0.099133	0.434596
0.728000	0.011306	0.573398	0.352932	0.673405	0.003052	0.055238	0.614888	0.511228	0.801556
0.736000	0.147034	0.398031	0.042545	0.426448	-0.001373	0.116274	0.351670	-0.198316	0.420143
