Time Fxf Fyf Fzf Ftf	
0.976000 1.169701 0.087367 1.874768 2.211467
0.984000 0.912037 0.016978 1.737408 1.962317
0.992000 0.636738 0.037223 1.829114 1.937131
1.000000 0.531633 0.154869 1.739373 1.825387
1.008000 0.501548 0.261904 1.228005 1.352088
1.016000 0.322684 0.187287 0.526349 0.645171
1.024000 -0.050934 0.042531 0.235627 0.244793
1.032000 -0.404595 0.545817 1.339340 1.501814
1.040000 -0.466488 0.947540 4.113560 4.246977
1.048000 0.329927 0.246133 7.162438 7.174256
1.056000 1.838978 -0.474876 10.098399 10.275457
1.064000 3.240026 -0.000135 13.886275 14.259257
1.072000 4.772812 2.316763 18.164678 18.923600
1.080000 6.918334 5.123581 21.455463 23.118203
1.088000 9.312068 6.673935 22.826941 25.540659
1.096000 11.122765 7.105402 22.578010 26.152804
1.104000 12.161344 6.964284 21.093618 25.324697
1.112000 12.843390 6.399727 18.419030 23.348872
1.120000 12.936550 5.590504 15.311581 20.809916
1.128000 11.927277 5.025450 12.354181 17.892481
1.136000 10.014774 4.778925 9.338864 14.503386
1.144000 8.107355 4.420974 6.332602 11.197146
1.152000 6.322369 3.704457 4.099225 8.396368
1.160000 4.135887 2.887065 3.474247 6.124630
1.168000 2.151260 2.084916 4.240344 5.191850
1.176000 1.525147 1.146722 5.724221 6.033883
1.184000 1.945632 -0.602323 7.864612 8.124063
1.192000 1.660009 -3.695448 10.552629 11.303537
1.200000 1.217168 -6.659427 13.270639 14.897628
1.208000 2.445700 -8.186594 15.484666 17.685493
1.216000 4.639401 -8.672170 16.409997 19.131613
1.224000 6.529727 -8.298769 15.698572 18.919621
1.232000 7.704978 -7.080231 14.003710 17.481426
1.240000 8.026402 -5.499690 12.062001 15.497147
1.248000 7.613580 -4.141653 10.110737 13.317165
1.256000 6.796679 -3.243859 8.149434 11.096429
1.264000 5.736734 -2.616776 6.102634 8.774952
1.272000 4.391773 -1.947978 3.964629 6.229011
1.280000 2.961322 -1.169977 2.096465 3.812275
1.288000 1.655561 -0.467244 0.827870 1.909075
1.296000 0.617755 -0.021960 0.152979 0.636793
1.304000 0.079190 0.133485 -0.036852 0.159522
1.312000 -0.011074 0.147162 0.108595 0.183227
1.320000 0.060847 0.177493 0.189246 0.266496
1.328000 0.188566 0.277990 0.043974 0.338776
1.336000 0.251123 0.370836 0.078312 0.454659
1.344000 0.236501 0.377581 0.351741 0.567646
1.352000 0.283125 0.330053 0.410700 0.598138
1.360000 0.298709 0.292438 0.249899 0.487028
1.368000 0.204397 0.251616 0.147838 0.356293
1.376000 0.092354 0.154066 0.015033 0.180254
1.384000 0.037219 0.080260 -0.067058 0.111012
1.392000 0.044549 0.077960 0.077206 0.118419
1.400000 0.045704 0.045979 0.188898 0.199713
1.408000 -0.012354 -0.031528 0.123164 0.127734
1.416000 -0.066664 -0.103261 0.030491 0.126636
1.424000 -0.056364 -0.145985 -0.064608 0.169301
1.432000 -0.046701 -0.153740 -0.213059 0.266855
1.440000 -0.093064 -0.160094 -0.167508 0.249700
1.448000 -0.183997 -0.184680 0.124326 0.288823
1.456000 -0.211222 -0.191318 0.247403 0.377393
1.464000 -0.131661 -0.178842 0.173635 0.281901
1.472000 -0.110656 -0.204126 0.159576 0.281738
1.480000 -0.177135 -0.223019 0.183228 0.338654
1.488000 -0.203772 -0.140934 0.149718 0.289484
1.496000 -0.158838 -0.015094 0.084635 0.180612
1.504000 -0.127892 0.004760 0.099382 0.162037
1.512000 -0.156944 -0.027439 0.178020 0.238904
1.520000 -0.111409 0.073298 0.215460 0.253393
1.528000 0.060498 0.236630 0.130408 0.276876
1.536000 0.188399 0.351750 0.006419 0.399078
1.544000 0.186619 0.410058 0.139776 0.471711
1.552000 0.148102 0.356365 0.466224 0.605223
1.560000 0.120682 0.241078 0.579442 0.639090
1.568000 0.082058 0.156589 0.441353 0.475443
1.576000 0.047060 0.114990 0.324982 0.347924
1.584000 0.054347 0.097915 0.170359 0.203871
1.592000 0.093256 0.048909 -0.026429 0.108570
1.600000 0.068841 -0.043464 0.021008 0.084081
1.608000 -0.036707 -0.115703 0.186345 0.222394
1.616000 -0.065436 -0.130635 0.154171 0.212406
1.624000 0.008647 -0.107774 0.050935 0.119517
1.632000 0.027767 -0.077624 0.047212 0.095002
1.640000 -0.006630 -0.051621 0.027212 0.058729
1.648000 -0.066875 -0.051536 0.080777 0.116847
1.656000 -0.158051 -0.045080 0.272157 0.317934
1.664000 -0.209055 -0.068755 0.265418 0.344786
1.672000 -0.234155 -0.147020 -0.030407 0.278151
1.680000 -0.272458 -0.163192 -0.146416 0.349718
1.688000 -0.269490 -0.145666 0.046633 0.309867
1.696000 -0.221913 -0.142550 0.146083 0.301506
1.704000 -0.192400 -0.086600 0.100902 0.233877
1.712000 -0.152880 0.041962 0.048275 0.165721
1.720000 -0.031022 0.178015 -0.046889 0.186682
1.728000 0.136840 0.222504 -0.059566 0.267920
1.736000 0.202810 0.194698 0.090527 0.295355
1.744000 0.201711 0.178931 0.207083 0.339981
1.752000 0.217980 0.159402 0.237215 0.359437
1.760000 0.164402 0.151615 0.346853 0.412701
1.768000 0.154299 0.180343 0.445883 0.505118
1.776000 0.288693 0.189903 0.232964 0.416748
1.784000 0.387258 0.181002 -0.032640 0.428714
1.792000 0.341791 0.203078 0.049389 0.400625
1.800000 0.221224 0.201199 0.242154 0.384785
1.808000 0.102039 0.116955 0.252799 0.296644
1.816000 -0.044617 0.059044 0.175105 0.190101
1.824000 -0.123156 0.065320 0.084189 0.162856
1.832000 -0.055074 0.034386 -0.000079 0.064927
1.840000 -0.066126 -0.046694 -0.029073 0.086013
1.848000 -0.203446 -0.089449 -0.014701 0.222727
1.856000 -0.288723 -0.059221 0.074752 0.304066
1.864000 -0.245376 -0.024366 0.173946 0.301762
1.872000 -0.148997 0.001710 0.164563 0.222000
1.880000 -0.116454 0.029156 0.110725 0.163315
1.888000 -0.144092 0.021760 0.117640 0.187283
1.896000 -0.142326 0.046089 0.103758 0.182062
1.904000 -0.056242 0.117294 0.111912 0.171596
1.912000 0.033017 0.136400 0.158410 0.211634
1.920000 0.083727 0.134065 0.087735 0.180779
1.928000 0.101011 0.156302 0.015337 0.186732
1.936000 0.058865 0.182867 0.121737 0.227432
1.944000 0.040538 0.179766 0.275462 0.331419
1.952000 0.069270 0.139567 0.393146 0.422896
1.960000 0.119170 0.176420 0.279021 0.350967
1.968000 0.259152 0.250049 -0.175685 0.400686
1.976000 0.393679 0.188570 -0.223150 0.490243
1.984000 0.376245 0.067185 0.440012 0.582825
1.992000 0.317148 -0.003753 0.786583 0.848121
2.000000 0.276701 -0.035605 0.264919 0.384725
2.008000 0.124081 0.019124 -0.383372 0.403405
2.016000 -0.023026 0.142238 -0.380421 0.406795
2.024000 0.065231 0.158544 0.187597 0.254133
2.032000 0.167671 0.011615 0.478395 0.507061
2.040000 -0.059299 -0.092837 0.104035 0.151520
2.048000 -0.289176 -0.022071 -0.239665 0.376230
2.056000 -0.137610 0.022330 -0.030411 0.142689
2.064000 0.007648 -0.091423 0.061963 0.110708
2.072000 -0.111063 -0.252914 -0.174307 0.326624
2.080000 -0.240918 -0.412676 -0.138466 0.497510
2.088000 -0.268080 -0.497167 0.275737 0.628548
2.096000 -0.206809 -0.464693 0.603129 0.788970
2.104000 -0.079434 -0.402727 0.288807 0.501904
2.112000 0.012030 -0.341638 -0.121076 0.362658
2.120000 0.035102 -0.309469 0.032302 0.313125
2.128000 0.025166 -0.254879 0.298905 0.393626
2.136000 0.029109 -0.141053 0.250147 0.288647
2.144000 0.080571 -0.046471 0.149226 0.175840
2.152000 0.119085 0.034042 0.238689 0.268910
2.160000 0.156037 0.083377 0.216224 0.279378
2.168000 0.213582 0.093523 -0.082935 0.247471
2.176000 0.212800 0.083437 -0.234272 0.327306
2.184000 0.188698 0.065707 0.038469 0.203480
2.192000 0.192519 0.082119 0.378935 0.432896
2.200000 0.194790 0.079563 0.401541 0.453331
2.208000 0.147486 0.008184 0.216148 0.261800
2.216000 0.032780 -0.097741 0.107604 0.149018
2.224000 -0.098185 -0.180934 0.140704 0.249349
2.232000 -0.225369 -0.218658 0.158482 0.351737
2.240000 -0.300148 -0.227394 0.120626 0.395408
2.248000 -0.275376 -0.182251 0.154846 0.364725
2.256000 -0.211093 -0.132600 0.198324 0.318552
2.264000 -0.184286 -0.135901 0.120228 0.258622
2.272000 -0.191746 -0.146531 -0.016814 0.241910
2.280000 -0.198525 -0.139180 -0.025838 0.243825
2.288000 -0.207836 -0.063172 0.109103 0.243084
2.296000 -0.182989 0.042895 0.195050 0.270868
2.304000 -0.122389 0.066849 0.057608 0.150886
2.312000 -0.069284 0.041824 -0.128694 0.152025
2.320000 -0.003383 0.049658 -0.047984 0.069137
2.328000 0.048676 0.096723 0.140448 0.177342
2.336000 0.044952 0.134082 0.186965 0.234424
2.344000 0.047612 0.137240 0.233191 0.274736
2.352000 0.109712 0.115414 0.352422 0.386727
2.360000 0.175344 0.071994 0.396965 0.439898
2.368000 0.179842 0.020954 0.269148 0.324381
2.376000 0.144447 0.006239 0.086906 0.168691
2.384000 0.154783 0.044770 0.055118 0.170294
2.392000 0.206023 0.089168 0.134274 0.261584
2.400000 0.201139 0.096533 0.176087 0.284223
2.408000 0.136548 0.028983 0.175928 0.224580
2.416000 0.049961 -0.108435 0.128850 0.175661
2.424000 -0.052425 -0.199807 0.053711 0.213438
2.432000 -0.151570 -0.239447 0.105107 0.302251
2.440000 -0.216631 -0.273785 0.220485 0.412917
2.448000 -0.194794 -0.214012 0.191670 0.347107
2.456000 -0.089109 -0.099388 0.071644 0.151497
2.464000 -0.023647 -0.072568 -0.016644 0.078117
2.472000 -0.068361 -0.100285 -0.090254 0.151249
2.480000 -0.160563 -0.065775 -0.006388 0.173631
