Time	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
1.408000	0.034882	0.062588	-0.007115	0.072004	-0.003662	0.036838	0.108454	0.407034	0.422843
1.416000	0.262418	0.167597	-0.559940	0.640691	-0.005493	0.284797	0.131342	-0.905241	0.958030
1.424000	0.155752	0.316772	-0.403262	0.535933	-0.004425	0.128392	0.333524	-0.157549	0.390570
1.432000	0.266715	0.261644	0.423796	0.564976	-0.007630	0.280982	0.272488	0.269703	0.475332
1.440000	0.267489	0.171438	0.179438	0.364883	0.029297	0.273353	0.131342	0.269703	0.405848
1.448000	0.014825	0.143862	-0.061338	0.157094	-0.005341	-0.005124	0.207637	-0.104143	0.232347
1.456000	-0.023001	0.093584	0.403258	0.414613	-0.006714	-0.001310	0.016899	0.399405	0.399764
1.464000	0.032905	0.041282	0.340335	0.344405	-0.005188	0.021579	0.116083	0.384146	0.401882
1.472000	0.210131	-0.107019	0.124673	0.266742	0.000000	0.200872	-0.162394	0.071336	0.267975
1.480000	0.272437	-0.037612	0.553862	0.618384	-0.005188	0.307685	-0.017433	0.567254	0.645563
1.488000	0.331325	-0.171814	-0.110045	0.389110	-0.007019	0.273353	-0.150950	-0.043107	0.315223
1.496000	0.026717	-0.087223	0.660360	0.666631	-0.003204	0.090244	-0.135691	0.529107	0.553633
1.504000	0.081906	-0.283256	2.166013	2.185990	-0.007630	0.055912	-0.250134	2.253376	2.267906
1.512000	1.502823	-0.424703	1.570833	2.215032	0.025483	1.425409	-0.360761	1.704051	2.250718
1.520000	2.318122	0.768568	2.143752	3.249624	-0.005951	2.554576	0.497559	1.612497	3.061629
1.528000	3.312038	0.083621	1.483428	3.630034	-0.002899	2.901719	0.650149	2.528038	3.903030
1.536000	3.220744	1.499315	3.557363	5.027521	-0.008240	3.756224	0.650149	2.016861	4.312730
1.544000	3.213332	4.655133	7.757576	9.600820	0.013428	2.691908	5.624590	9.592965	11.441476
1.552000	7.669722	2.437605	8.517381	11.718034	-0.007935	7.982974	1.584764	6.716640	10.552374
1.560000	8.092512	1.273025	12.845228	15.235132	-0.003052	8.093601	1.847982	14.292745	16.528883
1.568000	4.936629	1.927654	15.029781	15.936765	-0.009003	4.702284	1.653429	14.102006	14.957001
1.576000	6.955411	1.830271	12.845775	14.722146	-0.003510	7.246726	1.882315	13.278019	15.243489
1.584000	7.909456	3.355540	11.206594	14.121150	0.014191	7.666349	3.400587	11.134127	13.939357
1.592000	7.093172	3.729579	8.960201	12.021150	-0.003357	7.315391	3.701953	8.852903	12.066205
1.600000	6.098446	3.227794	7.367149	10.093789	-0.007324	5.762786	3.167887	7.456702	9.942214
1.608000	3.148923	2.441903	4.691674	6.155519	-0.003815	3.802001	2.618563	4.801633	6.660913
1.616000	3.484353	1.648741	3.686183	5.333573	0.018006	2.318062	1.363508	3.260472	4.226492
1.624000	-2.387847	0.948573	2.111668	3.325770	-0.004578	-0.684151	1.294842	2.848478	3.202890
1.632000	-8.036954	-0.480265	-0.430553	8.062795	-0.005035	-9.954007	-0.810903	-1.332494	10.075483
1.640000	1.659982	-0.563940	2.918968	3.404988	-0.005951	3.214529	-0.322614	3.779278	4.971943
1.648000	2.519523	-0.955273	7.374052	7.850936	-0.007477	1.719145	-1.077935	6.693751	6.994549
1.656000	-4.879372	-2.464311	10.713522	12.027496	0.007019	-4.765939	-2.435988	11.172275	12.388218
1.664000	-2.047949	-3.386515	13.282650	13.859703	-0.004120	-1.801874	-3.370603	13.018616	13.568054
1.672000	0.838133	-5.129501	13.116245	14.108513	-0.007019	0.502238	-5.148280	13.255131	14.228686
1.680000	1.154564	-6.852180	12.645751	14.429151	-0.005341	1.452112	-6.838216	12.568475	14.381808
1.688000	1.544165	-6.416897	12.009561	13.703670	0.024262	1.330040	-6.437667	12.057298	13.732843
1.696000	1.161866	-5.051190	10.423103	11.640685	-0.003204	1.291892	-5.030022	10.394064	11.619237
1.704000	1.508118	-4.364882	8.652639	9.807894	-0.007477	1.444483	-4.366255	8.669795	9.814074
1.712000	2.176182	-3.679284	6.944099	8.154349	-0.002747	2.188360	-3.706302	6.930266	8.158075
1.720000	2.458315	-2.739283	5.777684	6.850447	-0.008698	2.482096	-2.691577	5.801099	6.859893
1.728000	2.289753	-2.319141	5.705584	6.570774	-0.000916	2.253211	-2.374952	5.656138	6.535232
1.736000	2.269402	-2.195954	5.504070	6.345643	-0.006714	2.295173	-2.138438	5.579843	6.401201
1.744000	2.022444	-1.868889	4.175819	5.002049	-0.002899	2.020511	-1.924811	4.092088	4.953034
1.752000	1.575166	-1.291060	2.688108	3.372523	-0.010681	1.555110	-1.241970	2.764553	3.406408
1.760000	1.327318	-0.711499	1.182779	1.914934	0.030365	1.356743	-0.749866	1.116579	1.910445
1.768000	0.681293	-0.272602	0.056635	0.735989	-0.007324	0.654828	-0.246319	0.124742	0.710657
1.776000	0.040965	-0.116512	0.072996	0.143463	-0.003357	0.063541	-0.131876	-0.020218	0.147775
1.784000	-0.080180	-0.187979	0.032102	0.206870	-0.008545	-0.108123	-0.177653	0.162890	0.264167
1.792000	-0.323541	-0.036453	0.006073	0.325644	-0.004273	-0.283602	-0.047951	-0.149920	0.324354
1.800000	-0.605735	0.187462	0.645732	0.905000	-0.007019	-0.653633	0.200008	0.796139	1.049322
1.808000	-0.458724	0.227384	0.555862	0.755721	-0.004273	-0.413303	0.219081	0.437552	0.640522
1.816000	-0.187878	0.326745	0.132450	0.399504	-0.006409	-0.222566	0.325895	0.216297	0.450030
1.824000	-0.061559	0.406492	0.636452	0.757692	-0.005341	-0.043272	0.417449	0.574884	0.711777
1.832000	-0.168525	0.401025	1.083093	1.167181	0.027771	-0.165344	0.383116	1.124208	1.199150
1.840000	-0.118648	0.398145	0.812296	0.912371	-0.005341	-0.142456	0.417449	0.803769	0.916843
1.848000	0.068551	0.268558	0.737293	0.787669	-0.005035	0.101689	0.253414	0.704585	0.755645
1.856000	-0.052165	0.176065	0.743702	0.766037	-0.007324	-0.077605	0.184749	0.811398	0.835776
1.864000	0.004827	0.230488	0.347724	0.417205	-0.002136	0.010135	0.226711	0.262074	0.346674
1.872000	0.093657	0.248573	0.189094	0.326062	-0.005493	0.109318	0.249599	0.277333	0.388798
1.880000	-0.084376	0.154079	0.428446	0.463061	-0.003510	-0.111938	0.154231	0.345998	0.395009
1.888000	-0.075920	0.030727	0.522687	0.529064	-0.006714	-0.047087	0.032158	0.590143	0.592891
1.896000	-0.064075	0.098647	0.194754	0.227521	-0.003967	-0.089049	0.093194	0.155261	0.201794
1.904000	-0.123183	0.226648	0.172218	0.310165	0.027161	-0.100493	0.234340	0.178149	0.311049
1.912000	-0.082159	0.091623	0.314513	0.337733	-0.003510	-0.108123	0.085565	0.330739	0.358330
1.920000	-0.172948	-0.139584	-0.012396	0.222595	-0.007630	-0.138641	-0.135691	-0.027848	0.195982
1.928000	-0.240660	-0.212233	0.074294	0.329363	-0.002899	-0.283602	-0.215801	0.071336	0.363440
1.936000	-0.234170	-0.223163	0.422951	0.532471	0.005188	-0.188233	-0.219615	0.445182	0.530895
1.944000	-0.384257	-0.293340	0.347009	0.595077	-0.003815	-0.424748	-0.295911	0.315480	0.606219
1.952000	-0.382053	-0.316873	0.101909	0.506713	-0.008087	-0.352267	-0.314984	0.132372	0.490744
1.960000	-0.206187	-0.208997	-0.039909	0.296286	-0.003052	-0.226380	-0.211986	-0.058366	0.315583
1.968000	-0.145656	-0.113807	0.168243	0.249946	-0.009918	-0.131011	-0.108988	0.162890	0.235744
1.976000	-0.115280	-0.107230	0.145500	0.214379	0.022431	-0.127197	-0.112802	0.178149	0.246253
1.984000	-0.099071	-0.106556	-0.033413	0.149284	-0.007019	-0.089049	-0.101358	-0.081254	0.157497
1.992000	-0.108476	-0.112047	0.349299	0.382533	-0.003662	-0.115752	-0.116617	0.391775	0.424837
2.000000	-0.046469	-0.072160	0.372277	0.382042	-0.008392	-0.043272	-0.067025	0.345998	0.355077
2.008000	0.069743	0.074718	-0.151780	0.182986	0.017090	0.071171	0.066491	-0.134661	0.166192
2.016000	0.116315	0.111621	-0.093511	0.186367	-0.006561	0.109318	0.123713	-0.111772	0.199370
2.024000	0.071393	-0.000617	0.244982	0.255174	-0.005341	0.086430	-0.013619	0.262074	0.276294
2.032000	0.107536	0.059080	0.100336	0.158498	-0.006256	0.082615	0.070306	0.094224	0.143689
2.040000	0.208905	0.260528	0.055688	0.338551	-0.007019	0.242835	0.249599	0.048447	0.351590
2.048000	0.233983	0.267241	0.334463	0.487884	0.009766	0.193243	0.280117	0.345998	0.485308
2.056000	0.231035	0.189996	0.199409	0.359499	-0.005951	0.277167	0.177119	0.193408	0.381575
2.064000	0.300771	0.211548	-0.127536	0.389206	-0.004120	0.250464	0.219081	-0.127031	0.356182
2.072000	0.280039	0.155479	0.116033	0.340674	-0.007019	0.330574	0.158045	0.117113	0.384673
2.080000	0.061238	0.152398	0.536808	0.561371	0.024109	0.017764	0.138972	0.529107	0.547341
2.088000	-0.050738	0.237238	0.360071	0.434174	-0.006561	-0.020384	0.257229	0.384146	0.462764
2.096000	-0.039112	0.208394	0.096734	0.233056	-0.002899	-0.054716	0.188563	0.056077	0.204193
2.104000	0.041606	0.201020	0.176921	0.271000	-0.008545	0.044467	0.215267	0.223926	0.313783
2.112000	0.154478	0.175966	0.121729	0.263904	-0.004883	0.158910	0.169490	0.078965	0.245387
2.120000	0.019480	0.029303	0.044818	0.056981	-0.000763	0.013949	0.028344	0.078965	0.085050
2.128000	-0.196692	-0.064215	0.083191	0.223007	-0.003052	-0.192048	-0.055581	0.056077	0.207644
2.136000	-0.259300	-0.041041	0.032247	0.264501	-0.008392	-0.264528	-0.059396	0.056077	0.276853
2.144000	-0.309244	-0.103631	0.002748	0.326157	-0.003510	-0.302675	-0.074655	-0.020218	0.312401
2.152000	-0.398704	-0.164405	-0.034231	0.432627	0.026703	-0.405674	-0.200542	-0.012589	0.452710
2.160000	-0.378313	-0.102865	-0.102481	0.405221	-0.003662	-0.371341	-0.067025	-0.119402	0.395782
2.168000	-0.229263	-0.096850	0.024547	0.250088	-0.007935	-0.237825	-0.124247	0.033188	0.270369
2.176000	-0.104684	-0.094949	0.141438	0.199947	-0.003967	-0.092864	-0.082284	0.140002	0.187069
2.184000	-0.065612	-0.126043	0.138997	0.198776	-0.011444	-0.081420	-0.120432	0.140002	0.201825
2.192000	-0.079154	-0.017869	0.323912	0.333921	-0.003510	-0.058531	-0.040322	0.315480	0.323388
2.200000	0.016004	0.211202	0.396587	0.449603	-0.006867	-0.008939	0.241970	0.414664	0.480183
2.208000	0.171934	0.162836	0.034853	0.239357	-0.005188	0.197058	0.135157	0.010300	0.239176
2.216000	0.182005	0.166367	-0.205021	0.320683	-0.009155	0.162725	0.184749	-0.172808	0.300789
2.224000	0.221624	0.298616	0.178393	0.412447	0.031281	0.231390	0.287747	0.132372	0.392253
2.232000	0.266870	0.312535	0.464097	0.619906	-0.005646	0.265723	0.322080	0.521477	0.668044
2.240000	0.241613	0.389546	0.217408	0.507335	-0.006867	0.239020	0.375486	0.162890	0.473976
2.248000	0.284942	0.453465	0.268163	0.598944	-0.005951	0.284797	0.474670	0.307851	0.633398
2.256000	0.280485	0.426170	0.395684	0.645646	-0.006561	0.288612	0.398375	0.368887	0.614879
2.264000	0.306567	0.385078	0.090561	0.500469	-0.006561	0.288612	0.417449	0.117113	0.520841
2.272000	0.249250	0.333482	0.091883	0.426355	-0.005493	0.273353	0.299191	0.056077	0.409123
2.280000	0.008137	0.289002	0.296298	0.413982	-0.003815	-0.012754	0.322080	0.338369	0.467324
2.288000	0.031919	0.243801	0.200185	0.317067	-0.009613	0.040653	0.215267	0.162890	0.272994
2.296000	0.134915	0.194753	0.283511	0.369471	0.032349	0.139836	0.215267	0.307851	0.400832
2.304000	0.016404	0.030784	0.389646	0.391204	-0.007477	0.002505	0.020714	0.376516	0.377094
2.312000	-0.133226	-0.132645	0.113909	0.219816	-0.003815	-0.115752	-0.131876	0.124743	0.215292
2.320000	-0.221813	-0.147508	-0.006048	0.266451	-0.011444	-0.237825	-0.143320	-0.020218	0.278406
2.328000	-0.167475	-0.165110	0.170325	0.290379	0.005341	-0.157715	-0.170024	0.185779	0.297146
2.336000	-0.155778	-0.195999	0.236985	0.344738	-0.009766	-0.157715	-0.192912	0.223926	0.335010
2.344000	-0.223787	-0.245984	0.055376	0.337128	-0.004425	-0.226380	-0.246319	0.063706	0.340558
2.352000	-0.249995	-0.294484	-0.121138	0.404836	-0.009461	-0.249269	-0.295911	-0.119402	0.404913
2.360000	-0.371487	-0.292688	0.097593	0.482901	-0.004120	-0.363711	-0.292096	0.078965	0.473119
2.368000	-0.363650	-0.257661	0.288302	0.530800	0.022278	-0.382785	-0.253948	0.323110	0.561618
2.376000	-0.219215	-0.150652	0.181041	0.321756	-0.004120	-0.192047	-0.162394	0.140002	0.287845
2.384000	-0.084549	-0.107911	0.067538	0.152822	-0.007782	-0.111938	-0.086099	0.101854	0.174119
2.392000	0.133308	-0.078827	0.054501	0.164180	-0.004730	0.151280	-0.108988	0.040818	0.190867
2.400000	0.163848	-0.016094	0.321229	0.360962	0.011444	0.162725	0.016899	0.300221	0.341903
2.408000	0.069361	-0.016028	0.239275	0.249640	-0.005798	0.052097	-0.044137	0.300221	0.307888
2.416000	0.023384	0.024274	-0.015740	0.037200	-0.007324	0.055912	0.039788	-0.104143	0.124719
2.424000	-0.004817	-0.004605	0.224371	0.224470	-0.007782	-0.047087	-0.002174	0.315480	0.318982
2.432000	0.064003	0.075220	0.174772	0.200748	-0.010376	0.109318	0.055047	0.101854	0.159232
2.440000	0.136462	0.265170	0.053054	0.302905	0.020142	0.094059	0.295377	0.101854	0.326295
2.448000	0.154762	0.206144	0.127390	0.287532	-0.006409	0.189428	0.177119	0.094224	0.275921
2.456000	0.150637	0.172236	-0.097947	0.248898	-0.007019	0.128392	0.192378	-0.065995	0.240519
2.464000	0.180064	0.236022	-0.125105	0.322150	-0.007782	0.185613	0.226711	-0.165179	0.336354
2.472000	0.100325	0.215804	0.311390	0.391919	-0.002747	0.113133	0.215267	0.361257	0.435483
2.480000	0.022276	0.134047	0.486946	0.505550	-0.005798	-0.005124	0.142786	0.422293	0.445809
2.488000	0.095163	0.061509	0.123593	0.167673	-0.008392	0.128392	0.047417	0.216297	0.255963
2.496000	-0.008872	-0.001525	0.154420	0.154682	-0.004425	-0.039457	0.013085	0.025559	0.048799
2.504000	-0.133258	-0.100171	0.298316	0.341738	-0.012207	-0.108123	-0.108988	0.452811	0.478129
2.512000	-0.097290	-0.079731	-0.124225	0.176789	0.008087	-0.119567	-0.082284	-0.279622	0.315048
2.520000	-0.164931	-0.131541	-0.102912	0.234726	-0.009308	-0.142456	-0.116617	0.033188	0.187069
2.528000	-0.268711	-0.262789	0.321468	0.494576	-0.003662	-0.291231	-0.284466	0.208667	0.457470
2.536000	-0.227764	-0.178131	0.336787	0.443884	-0.012207	-0.207307	-0.158579	0.429923	0.502948
2.544000	-0.125193	-0.154576	0.227836	0.302450	0.036011	-0.142456	-0.166209	0.155261	0.268374
2.552000	-0.083450	-0.279945	0.223730	0.367952	-0.010376	-0.069975	-0.276837	0.269703	0.392779
2.560000	-0.114971	-0.296763	0.107354	0.335874	-0.005035	-0.123382	-0.292096	0.094224	0.330789
2.568000	-0.107086	-0.153585	0.024792	0.188866	-0.010834	-0.104308	-0.166209	0.002670	0.196247
2.576000	-0.029816	-0.036491	-0.028719	0.055185	-0.006104	-0.028013	-0.017433	0.025559	0.041736
2.584000	-0.018656	-0.041942	-0.056841	0.073062	-0.007630	-0.024198	-0.063211	-0.134661	0.150714
2.592000	-0.072514	-0.013903	0.119409	0.140392	-0.005493	-0.062346	0.005455	0.208667	0.217850
2.600000	-0.080488	0.066186	0.147080	0.180253	-0.008087	-0.096679	0.051232	0.056077	0.122948
2.608000	-0.043265	0.171751	-0.055286	0.185545	-0.007630	-0.020384	0.180934	0.033188	0.185078
2.616000	0.069816	0.249254	-0.008014	0.258971	0.038148	0.040653	0.245785	-0.088884	0.264505
2.624000	0.126753	0.295579	0.487725	0.584216	-0.004273	0.158910	0.295377	0.551995	0.645909
2.632000	0.110322	0.389986	0.575569	0.703946	-0.006409	0.082615	0.390745	0.529107	0.662919
2.640000	0.285267	0.405425	0.006477	0.495771	-0.011139	0.300056	0.406004	0.048447	0.507169
2.648000	0.359644	0.297061	-0.092241	0.475497	-0.010376	0.361092	0.295377	-0.142290	0.487731
2.656000	0.177076	0.197612	0.145077	0.302413	-0.000763	0.162725	0.200008	0.201038	0.326953
2.664000	0.048716	0.202970	0.076157	0.222193	-0.005951	0.071171	0.200008	0.025559	0.213826
2.672000	0.037181	0.243983	0.186558	0.309378	-0.008698	0.010135	0.245785	0.223926	0.332650
2.680000	0.092592	0.145112	0.402398	0.437669	-0.006867	0.120762	0.146601	0.376516	0.421711
2.688000	0.056283	-0.016737	0.338955	0.344003	0.037385	0.029208	-0.021248	0.361257	0.363059
2.696000	-0.073831	-0.057818	0.204367	0.224855	-0.004578	-0.047087	-0.051766	0.178149	0.191400
2.704000	-0.065299	0.008722	0.005832	0.066137	-0.009766	-0.092864	0.001640	0.040818	0.101452
2.712000	0.029155	0.044055	-0.015001	0.054917	-0.005341	0.055912	0.051232	-0.058366	0.095694
2.720000	0.082095	0.010251	0.232893	0.247151	-0.003815	0.059726	0.005455	0.277333	0.283744
2.728000	0.099205	-0.024635	0.276737	0.295012	-0.004730	0.113133	-0.025063	0.239185	0.265776
2.736000	-0.059767	-0.146659	0.112756	0.194409	-0.008392	-0.062346	-0.139506	0.140002	0.207242
2.744000	-0.238215	-0.298721	0.093081	0.393249	-0.004273	-0.245454	-0.311170	0.078965	0.404116
2.752000	-0.237930	-0.329414	0.251589	0.477934	-0.013428	-0.226380	-0.314984	0.246815	0.459762
2.760000	-0.253790	-0.274988	0.173656	0.412534	0.043183	-0.264528	-0.288281	0.201038	0.439883
2.768000	-0.275800	-0.231998	0.009921	0.360537	-0.009308	-0.268343	-0.223430	-0.035477	0.350981
2.776000	-0.237896	-0.326323	0.132805	0.425110	-0.004883	-0.241639	-0.326429	0.185779	0.446608
2.784000	-0.165956	-0.344656	0.177181	0.421571	-0.010834	-0.165344	-0.353132	0.124743	0.409392
2.792000	-0.029563	-0.174834	0.090412	0.199036	0.019989	-0.028013	-0.162394	0.140002	0.216234
2.800000	0.044744	-0.044761	0.118252	0.134123	-0.009918	0.040653	-0.055581	0.071336	0.099150
2.808000	0.034944	0.053593	0.022174	0.067713	-0.007630	0.044467	0.058862	0.063706	0.097471
2.816000	0.142455	0.079725	-0.213392	0.268674	-0.009155	0.124577	0.081750	-0.241474	0.283747
2.824000	0.194904	0.078233	-0.005179	0.210083	-0.010071	0.219946	0.070306	0.002670	0.230925
2.832000	0.067029	0.110409	0.360650	0.383082	0.029145	0.040653	0.119898	0.368887	0.390007
2.840000	0.053085	0.072087	0.372998	0.383591	-0.004883	0.074985	0.066491	0.361257	0.374901
2.848000	0.083025	0.091666	0.297378	0.322070	-0.007324	0.067356	0.089380	0.300221	0.320403
2.856000	0.086139	0.124388	0.011586	0.151745	-0.009613	0.097874	0.135157	0.025559	0.168819
2.864000	0.216344	0.143789	-0.166353	0.308469	0.032197	0.204687	0.127527	-0.195697	0.310576
2.872000	0.283071	0.210568	0.105827	0.368330	-0.007935	0.296241	0.226711	0.140002	0.398443
2.880000	0.224899	0.160698	0.381745	0.471309	-0.005646	0.212317	0.150416	0.353628	0.439040
2.888000	0.241374	0.084199	0.462136	0.528129	-0.012512	0.250464	0.085565	0.475700	0.544375
2.896000	0.206380	0.024757	0.291536	0.358049	-0.005798	0.200872	0.032158	0.300221	0.362652
2.904000	0.069499	-0.068417	0.166301	0.192788	0.010071	0.074985	-0.082284	0.132372	0.172962
2.912000	0.031470	-0.133742	0.199015	0.241835	-0.005035	0.021579	-0.116617	0.254444	0.280726
2.920000	-0.024999	-0.172138	0.171963	0.244598	-0.011444	-0.008939	-0.189097	0.101854	0.214970
2.928000	-0.122179	-0.186967	0.115760	0.251565	-0.005188	-0.142456	-0.173838	0.193408	0.296513
2.936000	-0.200338	-0.198773	0.019815	0.282911	0.038911	-0.180603	-0.204356	-0.058366	0.278901
2.944000	-0.342866	-0.146132	-0.009437	0.372828	-0.004425	-0.356082	-0.150950	0.063706	0.391968
2.952000	-0.320897	-0.116919	0.044745	0.344452	-0.010376	-0.317934	-0.101358	-0.020218	0.334312
2.960000	-0.178723	-0.127612	-0.043083	0.223792	-0.005341	-0.172974	-0.150950	0.010300	0.229808
2.968000	-0.155538	-0.115634	-0.153744	0.247387	-0.015564	-0.165344	-0.089914	-0.188067	0.266069
2.976000	-0.144759	-0.152077	0.125413	0.244563	0.001984	-0.134826	-0.173838	0.132372	0.256749
2.984000	-0.164738	-0.087612	0.333780	0.382392	-0.010376	-0.172974	-0.074655	0.353628	0.400682
2.992000	-0.142664	-0.013953	0.160319	0.215058	-0.006714	-0.134826	-0.017433	0.124743	0.184507
3.000000	0.025461	-0.033888	0.048520	0.064427	-0.012818	0.013949	-0.036507	0.086595	0.095006
3.008000	0.042149	0.050419	0.062589	0.090752	0.048829	0.059726	0.055047	0.033188	0.087743
